Nationality,Positions,Best Position,Field Position,Name,Age,Height,Weight,Club,Start Year,End Year,↓OVA,POT,Value,Value_int,Wage,Wage_amt,Release Clause
England,CB,CB,DEF,J. Mousinho,34,186cm,79kg,Oxford United,2017,2021,67,67,€325K,325000.0,€4K,4000.0,€481K
Argentina,ST,ST,ATT,A. Ríos,30,178cm,78kg,San Jose Earthquakes,2019,2020,67,67,€1M,1000000.0,€3K,3000.0,€1.1M
Denmark,CB,CB,DEF,K. Larsen,27,190cm,88kg,Odense Boldklub,2020,2024,67,69,€1.1M,1100000.0,€5K,5000.0,€1.1M
Germany,"RM, ST",RM,MID,F. Herbers,26,183cm,75kg,Chicago Fire,2019,2023,67,67,€1.1M,1100000.0,€3K,3000.0,€1.2M
United States,CB,CB,DEF,N. Hagglund,27,185cm,87kg,FC Cincinnati,2019,2020,67,68,€1M,1000000.0,€3K,3000.0,€1.2M
England,"ST, RM",ST,ATT,J. Leko,21,182cm,64kg,Birmingham City,2020,2023,67,76,€2.3M,2300000.0,€5K,5000.0,€2.5M
Greece,CB,CB,DEF,D. Nikolaou,21,190cm,92kg,Empoli,2019,2023,67,75,€2.1M,2100000.0,€1K,1000.0,€1.8M
Netherlands,LB,LB,DEF,L. Woudenberg,26,186cm,70kg,SC Heerenveen,2017,2022,67,69,€1.2M,1200000.0,€3K,3000.0,€1.2M
Spain,"LB, LWB, LM",LB,DEF,Javi Jiménez,24,173cm,70kg,CD Mirandés,2020,2021,67,74,€1.9M,1900000.0,€3K,3000.0,€1.7M
France,"LM, RM, CM",LM,MID,F. N'Goma,27,175cm,69kg,Stade Brestois 29,2018,2021,67,67,€1.1M,1100000.0,€7K,7000.0,€1.6M
South Africa,"CM, CAM",CAM,MID,T. Mokoena,23,176cm,72kg,lub,Free,Free,67,72,€0,0.0,€0,0.0,€0
Guinea,"CDM, CM",CB,DEF,I. Camará,21,190cm,76kg,Moreirense FC,2018,2023,67,77,€2.2M,2200000.0,€3K,3000.0,€2.5M
Switzerland,GK,GK,GK,D. Lopar,35,187cm,85kg,Western Sydney Wanderers,2019,2022,67,67,€110K,110000.0,€2K,2000.0,€263K
Switzerland,CB,CB,DEF,G. Wüthrich,25,192cm,88kg,SK Sturm Graz,2020,2022,67,70,€1.2M,1200000.0,€7K,7000.0,€1.3M
South Africa,"LM, CM, LB",LM,MID,S. Ndlovu,23,170cm,68kg,Orlando Pirates,2019,2023,67,72,€1.5M,1500000.0,€500,500.0,€2.2M
France,CB,CB,DEF,L. Perrin,21,187cm,73kg,Olympique de Marseille,2018,2023,67,73,€1.5M,1500000.0,€8K,8000.0,€2M
Chile,"RW, RM, LW",RW,ATT,C. Bravo,26,168cm,64kg,Peñarol,2020,2020,67,67,€1.1M,1100000.0,€500,500.0,€1.8M
England,RM,RM,MID,J. Clark,26,176cm,73kg,Luton Town,2020,2022,67,67,€1.1M,1100000.0,€5K,5000.0,€1.5M
Germany,"ST, LM",ST,ATT,D. Thomalla,27,186cm,75kg,1. FC Heidenheim 1846,2016,2023,67,67,€1.1M,1100000.0,€9K,9000.0,€1.3M
United States,CB,CB,DEF,A. Trusty,21,191cm,85kg,Colorado Rapids,2019,2020,67,77,€2.1M,2100000.0,€2K,2000.0,€1.8M
Switzerland,"CB, LB",CDM,MID,M. Bürki,26,184cm,80kg,FC Luzern,2020,2022,67,68,€1.1M,1100000.0,€5K,5000.0,€1.2M
Paraguay,CAM,CAM,MID,D. Santacruz,25,177cm,74kg,Nacional Asunción,2019,2024,67,72,€1.5M,1500000.0,€500,500.0,€2.2M
Korea Republic,"LB, CB, RB",LB,DEF,Yun Suk Young,30,182cm,74kg,Busan IPark,Dec ,Loan,67,67,€875K,875000.0,€4K,4000.0,€0
Ecuador,"RB, LB",RB,DEF,P. Velasco,27,173cm,67kg,Barcelona Sporting Club,2013,2021,67,68,€1.1M,1100000.0,€500,500.0,€1.7M
Denmark,ST,ST,ATT,A. Albers,30,193cm,90kg,SSV Jahn Regensburg,2019,2022,67,67,€1M,1000000.0,€6K,6000.0,€1.1M
Colombia,LB,LB,DEF,M. Vallecilla,29,175cm,72kg,Deportivo Pasto,2020,2021,67,67,€900K,900000.0,€950,950.0,€844K
Norway,CB,CB,DEF,F. Berge,30,189cm,82kg,Odds BK,2016,2020,67,67,€825K,825000.0,€2K,2000.0,€781K
Portugal,"LB, LM",LB,DEF,Francisco Moura,20,181cm,66kg,SC Braga,2017,2023,67,79,€2.3M,2300000.0,€3K,3000.0,€2.6M
England,CAM,CAM,MID,S. Szmodics,24,167cm,64kg,Peterborough United,2020,2024,67,72,€1.5M,1500000.0,€4K,4000.0,€1.8M
Japan,LM,CAM,MID,T. Koyamatsu,25,171cm,64kg,Sagan Tosu,2020,2021,67,69,€1.3M,1300000.0,€2K,2000.0,€1.2M
Colombia,"RM, LM, ST",RM,MID,M. Palacios,27,183cm,75kg,Pohang Steelers,2020,2025,67,67,€1.1M,1100000.0,€3K,3000.0,€1M
Denmark,RB,RB,DEF,M. Desler,25,187cm,73kg,FK Haugesund,2019,2021,67,71,€1.3M,1300000.0,€2K,2000.0,€1.2M
Georgia,ST,ST,ATT,N. Kacharava,26,198cm,88kg,Lech Poznań,2018,2022,67,70,€1.3M,1300000.0,€4K,4000.0,€1.4M
Luxembourg,"LB, RB",LB,DEF,L. Gerson,30,187cm,76kg,IFK Norrköping,2018,2020,67,67,€875K,875000.0,€2K,2000.0,€750K
Ecuador,"CDM, CM",CDM,MID,J. Orejuela,27,179cm,75kg,Barcelona Sporting Club,2020,2022,67,70,€1.2M,1200000.0,€500,500.0,€1.8M
DR Congo,"CDM, CM",CDM,MID,B. Baningime,21,178cm,70kg,Everton,2016,2022,67,76,€2.2M,2200000.0,€15K,15000.0,€2.3M
France,"LM, RM",LM,MID,F. Ourega,27,178cm,65kg,FC Sochaux-Montbéliard,2019,2021,67,67,€1.1M,1100000.0,€3K,3000.0,€1.4M
Venezuela,"RM, RW",CAM,MID,E. Gallardo,23,173cm,68kg,Toronto FC,2019,2020,67,72,€1.5M,1500000.0,€3K,3000.0,€1.6M
Netherlands,"CDM, CM",CB,DEF,D. Post,31,191cm,92kg,VVV-Venlo,2013,2022,67,67,€725K,725000.0,€3K,3000.0,€834K
Germany,CDM,CDM,MID,T. Albutat,27,182cm,80kg,KFC Uerdingen 05,2020,2022,67,68,€1M,1000000.0,€3K,3000.0,€1.2M
Austria,LM,LM,MID,B. Pranter,30,181cm,78kg,WSG Tirol,2011,2021,67,67,€975K,975000.0,€5K,5000.0,€1.1M
Spain,ST,ST,ATT,Rodri,30,175cm,74kg,Real Oviedo,2020,2021,67,67,€1M,1000000.0,€5K,5000.0,€1.1M
Uzbekistan,"CM, CDM",CM,MID,I. Alibaev,26,173cm,62kg,FC Seoul,2018,2023,67,70,€1.3M,1300000.0,€4K,4000.0,€1.2M
Venezuela,"LM, LW",LM,MID,S. Sosa,20,178cm,71kg,AD Alcorcón,Jun ,Loan,67,81,€2.5M,2500000.0,€4K,4000.0,€0
Italy,GK,GK,GK,S. Aresti,34,189cm,78kg,Cagliari,2020,2025,67,67,€170K,170000.0,€8K,8000.0,€553K
Ecuador,"LM, RW, RM",LM,MID,F. Guerrero,30,171cm,71kg,Independiente del Valle,2020,2022,67,67,€975K,975000.0,€500,500.0,€1.6M
Spain,GK,GK,GK,Aarón,24,185cm,71kg,Granada CF,2017,2023,67,73,€1.3M,1300000.0,€5K,5000.0,€1.8M
Saudi Arabia,"CM, CDM",CAM,MID,A. Al Sulayhim,26,171cm,63kg,Al Nassr,2020,2023,67,70,€1.3M,1300000.0,€12K,12000.0,€1.6M
Turkey,ST,ST,ATT,S. Bakış,26,188cm,80kg,Heracles Almelo,2020,2023,67,69,€1.3M,1300000.0,€3K,3000.0,€1.4M
France,"ST, CAM",ST,ATT,Y. Merdji,26,174cm,69kg,AJ Auxerre,2018,2021,67,70,€1.3M,1300000.0,€3K,3000.0,€1.8M
Germany,"CB, ST, CAM",CB,DEF,S. Mai,26,195cm,93kg,SG Dynamo Dresden,2020,2022,67,70,€1.2M,1200000.0,€3K,3000.0,€1.3M
DR Congo,"LB, CB",CB,DEF,S. Mambo,21,183cm,76kg,ESTAC Troyes,2019,2022,67,78,€2.2M,2200000.0,€2K,2000.0,€2.4M
Ukraine,LB,LB,DEF,V. Kostevych,27,174cm,66kg,Lech Poznań,2017,2020,67,68,€1.1M,1100000.0,€4K,4000.0,€1.1M
Poland,GK,GK,GK,K. Kamiński,29,191cm,81kg,Wisła Płock,2020,2022,67,68,€775K,775000.0,€2K,2000.0,€891K
Morocco,"RM, ST, LM",RM,MID,H. Boussefiane,22,176cm,65kg,Málaga CF,2018,2022,67,77,€2.3M,2300000.0,€3K,3000.0,€2.1M
United States,"LB, RB, RM",LB,DEF,H. Jimenez,31,175cm,64kg,Columbus Crew SC,2014,2020,67,67,€750K,750000.0,€3K,3000.0,€825K
Spain,"RM, LM",RM,MID,Cristian Cedrés,24,172cm,64kg,UD Las Palmas,2018,2021,67,73,€1.6M,1600000.0,€3K,3000.0,€1.8M
Scotland,"CDM, RB",CB,DEF,R. McCrorie,22,187cm,80kg,Aberdeen,Jun ,Loan,67,78,€2.2M,2200000.0,€13K,13000.0,€0
Italy,CB,CB,DEF,B. Meccariello,29,187cm,85kg,Lecce,2019,2021,67,68,€950K,950000.0,€11K,11000.0,€1.4M
Iceland,CB,CB,DEF,H. Eyjólfsson,29,190cm,86kg,Rosenborg BK,2020,2023,67,67,€850K,850000.0,€3K,3000.0,€845K
Romania,RB,RB,DEF,D. Haruț,21,180cm,80kg,FC Botoşani,2019,2022,67,79,€2.4M,2400000.0,€3K,3000.0,€1.9M
Morocco,LM,CAM,MID,M. El Hankouri,23,176cm,70kg,FC Groningen,2019,2021,67,73,€1.6M,1600000.0,€3K,3000.0,€1.7M
Eritrea,"CF, ST",LM,MID,M. Saeid,29,170cm,64kg,IK Sirius,2018,2021,67,67,€1M,1000000.0,€2K,2000.0,€938K
United States,"LB, LWB",LB,DEF,B. Sweat,28,188cm,79kg,Inter Miami,2019,2025,67,67,€925K,925000.0,€3K,3000.0,€975K
Uruguay,"RM, RW, CF",RM,MID,M. Castro,24,172cm,72kg,Atlanta United,Dec ,Loan,67,70,€1.4M,1400000.0,€5K,5000.0,€0
Denmark,"RM, RWB",RM,MID,A. Bah,22,183cm,76kg,SønderjyskE,2018,2023,67,77,€2.3M,2300000.0,€5K,5000.0,€1.7M
Sweden,"LM, ST, RM",ST,ATT,V. Gyökeres,22,187cm,86kg,Swansea City,Jun ,Loan,67,78,€2.3M,2300000.0,€15K,15000.0,€0
Korea Republic,CB,CB,DEF,Kim Min Hyeok,28,187cm,73kg,Jeonbuk Hyundai Motors,2019,2023,67,69,€1M,1000000.0,€4K,4000.0,€1.1M
Chile,"CB, LB",CB,DEF,D. Oyarzún,27,185cm,78kg,CD Huachipato,2020,2021,67,69,€1.1M,1100000.0,€3K,3000.0,€1.1M
England,RB,RB,DEF,D. Sterling,20,180cm,72kg,Chelsea,2016,2022,67,80,€2.3M,2300000.0,€16K,16000.0,€3.3M
Belgium,"CDM, RB",RWB,DEF,J. Schryvers,23,181cm,73kg,Waasland-Beveren,2017,2022,67,72,€1.4M,1400000.0,€3K,3000.0,€1.4M
Colombia,"LM, RM",RM,MID,J. Carbonero,20,170cm,75kg,Gimnasia y Esgrima La Plata,2018,2022,67,82,€2.5M,2500000.0,€5K,5000.0,€3.5M
Poland,GK,GK,GK,P. Tytoń,33,195cm,88kg,FC Cincinnati,2019,2020,67,67,€325K,325000.0,€2K,2000.0,€580K
Korea Republic,"RB, CDM",RB,DEF,Sin Se Gye,29,178cm,75kg,Gangwon FC,2020,2024,67,67,€900K,900000.0,€3K,3000.0,€781K
Germany,"CAM, CM, CDM",CAM,MID,E. Bekiroglu,24,185cm,84kg,Alanyaspor,2020,2023,67,70,€1.4M,1400000.0,€5K,5000.0,€2M
Mexico,LB,LB,DEF,O. Rodríguez,23,175cm,74kg,Club León,2019,2022,67,74,€1.9M,1900000.0,€7K,7000.0,€1.8M
France,"LB, LWB",LB,DEF,Y. Etienne,23,174cm,70kg,FC Lorient,2020,2021,67,74,€1.9M,1900000.0,€8K,8000.0,€2.1M
Nigeria,"ST, RM",ST,ATT,B. Eleke,24,190cm,88kg,Beerschot AC,2020,2023,67,72,€1.6M,1600000.0,€5K,5000.0,€1.5M
Denmark,"CDM, CM",CDM,MID,M. Albæk,30,182cm,77kg,SønderjyskE,2019,2023,67,67,€850K,850000.0,€5K,5000.0,€781K
England,CDM,CB,DEF,T. Naylor,29,188cm,72kg,Portsmouth,2018,2021,67,67,€875K,875000.0,€5K,5000.0,€1.1M
Spain,"RB, RM",RB,DEF,Apa,20,170cm,62kg,Real Valladolid CF,2018,2021,67,77,€2.1M,2100000.0,€5K,5000.0,€2.5M
Korea Republic,"CM, CDM, CAM",CM,MID,Kim Sung Joon,32,174cm,68kg,Ulsan Hyundai FC,2019,2023,67,67,€800K,800000.0,€3K,3000.0,€748K
France,"CAM, CM",CAM,MID,A. Ngando,26,179cm,71kg,AJ Auxerre,2019,2021,67,68,€1.2M,1200000.0,€3K,3000.0,€1.7M
Iceland,ST,ST,ATT,H. Friðjónsson,27,195cm,85kg,Brescia,2020,2025,67,68,€1.2M,1200000.0,€13K,13000.0,€1.7M
Japan,"ST, CF",ST,ATT,K. Kitagawa,23,180cm,74kg,SK Rapid Wien,2019,2023,67,72,€1.6M,1600000.0,€9K,9000.0,€1.6M
Sweden,"ST, CF",ST,ATT,G. Molins,31,186cm,83kg,Sarpsborg 08 FF,2020,2020,67,67,€850K,850000.0,€2K,2000.0,€844K
Mexico,CB,CB,DEF,H. Marín,27,183cm,85kg,FC Juárez,Jun ,Loan,67,68,€1M,1000000.0,€13K,13000.0,€0
Brazil,"RB, RWB",RB,DEF,Ruan,25,170cm,80kg,Orlando City SC,2019,2021,67,71,€1.3M,1300000.0,€3K,3000.0,€1.4M
France,"RM, LM",RM,MID,E. Dina Ebimbe,19,183cm,77kg,Dijon FCO,Jun ,Loan,67,81,€2.4M,2400000.0,€12K,12000.0,€0
Ghana,"CM, CDM",CM,MID,B. Addae,27,185cm,85kg,FC Hermannstadt,2020,2024,67,68,€1.2M,1200000.0,€4K,4000.0,€1.2M
Brazil,"LM, LB",LM,MID,Michildo Melo,32,174cm,72kg,São Paulo,2019,2023,67,67,€800K,800000.0,€12K,12000.0,€1.1M
Ecuador,"LM, LW",RM,MID,A. Alvarado,21,165cm,60kg,SD Aucas,2018,2024,67,75,€2.3M,2300000.0,€500,500.0,€2.6M
England,LB,LM,MID,D. Mitchell,23,181cm,71kg,Blackpool,2020,2022,67,74,€1.9M,1900000.0,€3K,3000.0,€1.9M
Netherlands,CB,CB,DEF,M. van der Werff,31,186cm,82kg,FC Cincinnati,2019,2021,67,67,€700K,700000.0,€3K,3000.0,€834K
Austria,"ST, RM, RWB",RM,MID,C. Gebauer,26,187cm,75kg,DSC Arminia Bielefeld,2020,2023,67,70,€1.3M,1300000.0,€9K,9000.0,€1.8M
Chile,CB,CB,DEF,N. Ramírez,23,182cm,80kg,CD Huachipato,2020,2020,67,77,€2.1M,2100000.0,€2K,2000.0,€1.7M
Netherlands,GK,GK,GK,H. Jurjus,26,187cm,77kg,KFC Uerdingen 05,2020,2022,67,71,€1.1M,1100000.0,€2K,2000.0,€1.1M
Netherlands,CDM,CDM,MID,N. Breeveld,33,178cm,76kg,Politehnica Iaşi,2019,2022,67,67,€500K,500000.0,€3K,3000.0,€506K
Austria,"RB, CB, LB",RB,DEF,S. Zwierschitz,29,183cm,78kg,FK Austria Wien,2019,2021,67,67,€900K,900000.0,€7K,7000.0,€906K
Japan,"CF, RM, CM",CF,ATT,K. Nagasawa,28,172cm,68kg,Urawa Red Diamonds,2015,2021,67,67,€1M,1000000.0,€5K,5000.0,€1M
Brazil,LM,LM,MID,Denaldo Carneiro,20,166cm,65kg,Oceânico FC,2019,2023,67,67,€1.1M,1100000.0,€6K,6000.0,€1.6M
Georgia,RM,LM,MID,L. Shengelia,24,185cm,77kg,Atiker Konyaspor,2019,2021,67,71,€1.5M,1500000.0,€6K,6000.0,€2.1M
Bulgaria,CDM,CDM,MID,G. Kostadinov,29,185cm,75kg,lub,Free,Free,67,67,€0,0.0,€0,0.0,€0
Netherlands,GK,GK,GK,X. Mous,24,188cm,80kg,PEC Zwolle,2019,2021,67,73,€1.3M,1300000.0,€2K,2000.0,€1.3M
Scotland,"RM, LM",RM,MID,C. McLennan,20,182cm,69kg,Aberdeen,2015,2021,67,80,€2.5M,2500000.0,€2K,2000.0,€3.6M
France,"RM, CM, CAM",CAM,MID,G. Hein,23,170cm,65kg,AJ Auxerre,2020,2023,67,73,€1.6M,1600000.0,€2K,2000.0,€2M
Kosovo,CB,CB,DEF,I. Drešević,23,186cm,81kg,SC Heerenveen,2019,2023,67,76,€2.1M,2100000.0,€3K,3000.0,€1.8M
Switzerland,"CM, CDM",CM,MID,V. Sierro,24,187cm,79kg,BSC Young Boys,2019,2023,67,72,€1.5M,1500000.0,€7K,7000.0,€1.6M
Argentina,"LB, CB",CB,DEF,L. Grimi,35,183cm,74kg,Club Atlético Huracán,2020,2021,67,67,€325K,325000.0,€4K,4000.0,€319K
Spain,"CDM, CM",CDM,MID,Jimmy,23,170cm,65kg,Real Oviedo,2016,2022,67,76,€2.1M,2100000.0,€3K,3000.0,€1.9M
Germany,"CM, CDM",CDM,MID,D. Burnić,22,181cm,70kg,1. FC Heidenheim 1846,2020,2023,67,76,€2.3M,2300000.0,€7K,7000.0,€2.2M
Netherlands,ST,ST,ATT,T. van Weert,30,180cm,73kg,Aalborg BK,2018,2021,67,67,€1M,1000000.0,€6K,6000.0,€906K
Italy,ST,ST,ATT,A. Said,27,180cm,70kg,Rio Ave FC,2019,2022,67,68,€1.2M,1200000.0,€4K,4000.0,€2M
Croatia,RB,RWB,DEF,K. Bartolec,25,178cm,78kg,FC København,2019,2023,67,71,€1.3M,1300000.0,€6K,6000.0,€1.2M
Scotland,CB,CB,DEF,C. Mulgrew,34,191cm,80kg,Blackburn Rovers,2016,2021,67,67,€325K,325000.0,€13K,13000.0,€523K
Argentina,"CAM, CM",CAM,MID,L. Necul,20,171cm,72kg,Arsenal de Sarandí,2018,2021,67,79,€2.5M,2500000.0,€3K,3000.0,€2.3M
DR Congo,RM,RM,MID,J. Lukoki,27,173cm,61kg,Yeni Malatyaspor,2020,2022,67,67,€1.1M,1100000.0,€5K,5000.0,€1.6M
Spain,"ST, RM, CAM",ST,ATT,Cristian Herrera,29,181cm,76kg,CD Lugo,2017,2021,67,67,€1M,1000000.0,€4K,4000.0,€1.2M
Austria,"RB, RWB, RM",RB,DEF,M. Pavelić,26,180cm,72kg,Wolfsberger AC,2020,2021,67,68,€1.1M,1100000.0,€6K,6000.0,€1.2M
Argentina,"CDM, CM",CDM,MID,S. Prediger,33,184cm,85kg,Club Atlético Tigre,2018,2021,67,67,€500K,500000.0,€5K,5000.0,€544K
Germany,GK,GK,GK,C. Früchtl,20,193cm,84kg,1. FC Nürnberg,Jun ,Loan,66,83,€2M,2000000.0,€1K,1000.0,€0
Uruguay,"RM, LM",CAM,MID,C. Olivera,18,170cm,67kg,UD Almería,2020,2025,66,84,€2.2M,2200000.0,€1K,1000.0,€2.9M
Cameroon,CB,CB,DEF,J. Dawa Tchakonte,24,194cm,95kg,lub,Free,Free,66,71,€0,0.0,€0,0.0,€0
Greece,CB,CB,DEF,K. Triantafyllopoulos,27,185cm,80kg,Pogoń Szczecin,2019,2021,66,69,€975K,975000.0,€2K,2000.0,€998K
England,CB,CB,DEF,J. Moore-Taylor,26,178cm,83kg,Forest Green Rovers,2020,2022,66,71,€1.1M,1100000.0,€6K,6000.0,€1.4M
Netherlands,"CB, LB, RB",CDM,MID,M. van der Maarel,30,177cm,74kg,FC Utrecht,2009,2021,66,66,€700K,700000.0,€5K,5000.0,€788K
Japan,ST,ST,ATT,A. Ueda,21,182cm,76kg,Kashima Antlers,2019,2021,66,73,€1.8M,1800000.0,€3K,3000.0,€1.3M
France,CB,CB,DEF,C. Psyché,31,186cm,82kg,Kristiansund BK,2018,2020,66,66,€575K,575000.0,€1K,1000.0,€594K
Sweden,CB,CB,DEF,D. Fällman,30,187cm,84kg,Hammarby IF,2018,2020,66,66,€700K,700000.0,€2K,2000.0,€656K
England,LWB,LWB,DEF,C. Hussey,31,178cm,65kg,Cheltenham Town,2018,2021,66,66,€625K,625000.0,€4K,4000.0,€831K
Switzerland,ST,ST,ATT,R. Munsy,30,188cm,90kg,FC Würzburger Kickers,2020,2022,66,66,€850K,850000.0,€6K,6000.0,€969K
England,"CB, RB",CB,DEF,L. Chambers,34,185cm,87kg,Ipswich Town,2012,2021,66,66,€275K,275000.0,€4K,4000.0,€420K
Cameroon,"CAM, ST, LM",ST,ATT,K. Soni,22,183cm,76kg,Villarreal CF,Jun ,Loan,66,75,€1.9M,1900000.0,€3K,3000.0,€0
Romania,"LM, RM",RM,MID,S. Balaure,24,178cm,71kg,Astra Giurgiu,2016,2023,66,72,€1.4M,1400000.0,€3K,3000.0,€1.4M
Zambia,"ST, RW, LW",ST,ATT,L. Kambole,26,186cm,80kg,Kaizer Chiefs,2019,2022,66,68,€1.1M,1100000.0,€500,500.0,€1.8M
Japan,"LM, ST, CAM",LM,MID,K. Nakamura,27,178cm,73kg,Shimizu S-Pulse,2019,2022,66,66,€900K,900000.0,€2K,2000.0,€844K
Brazil,RB,RB,DEF,Cláudio Winck,26,184cm,70kg,Clube Sport Marítimo,2020,2023,66,69,€1M,1000000.0,€3K,3000.0,€1.5M
Romania,"ST, LW",ST,ATT,D. Drăguș,20,185cm,79kg,Crotone,Jun ,Loan,66,75,€1.9M,1900000.0,€4K,4000.0,€0
Spain,RW,LM,MID,Joaquín,21,173cm,60kg,Málaga CF,Jun ,Loan,66,78,€2.1M,2100000.0,€6K,6000.0,€0
Argentina,ST,ST,ATT,D. Mendoza,27,186cm,86kg,Club Atlético Huracán,2016,2021,66,66,€925K,925000.0,€6K,6000.0,€979K
Argentina,GK,GK,GK,L. Ojeda,30,183cm,83kg,Jorge Wilstermann,2020,2025,66,67,€650K,650000.0,€500,500.0,€1.1M
Australia,"CDM, CM, CB",CDM,MID,R. Griffiths,32,187cm,86kg,Melbourne City FC,2018,2022,66,66,€575K,575000.0,€4K,4000.0,€531K
Jamaica,RB,RB,DEF,A. Powell,25,182cm,75kg,Inter Miami,2019,2025,66,69,€1M,1000000.0,€2K,2000.0,€1.1M
Spain,"ST, CAM",ST,ATT,Dani Escriche,22,178cm,75kg,SD Huesca,2018,2022,66,74,€1.9M,1900000.0,€7K,7000.0,€2.3M
Brazil,GK,GK,GK,Neto Volpi,27,189cm,86kg,Shimizu S-Pulse,2020,2021,66,68,€775K,775000.0,€1K,1000.0,€729K
Benin,"CDM, CM",CDM,MID,J. Adéoti,31,183cm,79kg,Sarpsborg 08 FF,2020,2020,66,66,€600K,600000.0,€2K,2000.0,€594K
Uruguay,ST,ST,ATT,S. Gularte,30,181cm,78kg,Deportivo Binacional,2020,2020,66,66,€850K,850000.0,€500,500.0,€1.3M
Germany,ST,ST,ATT,M. Pourié,29,185cm,86kg,1. FC Kaiserslautern,Jun ,Loan,66,66,€850K,850000.0,€5K,5000.0,€0
France,CB,CB,DEF,L. Mbe Soh,19,187cm,86kg,Nottingham Forest,2020,2024,66,76,€1.7M,1700000.0,€7K,7000.0,€1.9M
England,"LB, CB",LB,DEF,J. Husband,26,179cm,65kg,Blackpool,2020,2021,66,68,€975K,975000.0,€3K,3000.0,€1.2M
England,ST,ST,ATT,D. Nugent,35,180cm,76kg,Preston North End,2019,2021,66,66,€375K,375000.0,€7K,7000.0,€570K
Norway,RB,RB,DEF,L. Vilsvik,31,180cm,73kg,Strømsgodset IF,2010,2021,66,66,€625K,625000.0,€2K,2000.0,€594K
Northern Ireland,GK,GK,GK,A. Mannus,38,188cm,94kg,Shamrock Rovers,2018,2020,66,66,€90K,90000.0,€600,600.0,€109K
Ukraine,RB,RB,DEF,O. Tymchyk,23,180cm,67kg,Dynamo Kyiv,2015,2025,66,74,€1.8M,1800000.0,€500,500.0,€2M
Argentina,CM,CAM,MID,J. Méndez,23,177cm,71kg,Club Atlético Talleres,2019,2022,66,75,€1.9M,1900000.0,€4K,4000.0,€1.6M
Germany,"CAM, CM",CAM,MID,M. Ritter,25,173cm,72kg,1. FC Kaiserslautern,2020,2023,66,70,€1.2M,1200000.0,€2K,2000.0,€1.3M
Croatia,"CM, CAM, CDM",CAM,MID,P. Brlek,26,180cm,74kg,Genoa,2017,2021,66,69,€1.1M,1100000.0,€5K,5000.0,€1.5M
Netherlands,"RM, ST, CAM",CAM,MID,Z. Flemming,21,183cm,84kg,Fortuna Sittard,2020,2024,66,73,€1.7M,1700000.0,€3K,3000.0,€1.5M
United States,"CB, RB",CB,DEF,B. Hines-Ike,25,185cm,77kg,KV Kortrijk,2018,2023,66,71,€1.1M,1100000.0,€4K,4000.0,€1.2M
Turkey,"CDM, CB, RB",CB,DEF,F. Aksoy,22,189cm,78kg,Alanyaspor,2020,2025,66,74,€1.8M,1800000.0,€4K,4000.0,€1.9M
Angola,"LM, LW",LM,MID,Anderson Emanuel,24,175cm,67kg,Club Bolívar,2020,2023,66,72,€1.4M,1400000.0,€500,500.0,€2.1M
Sweden,LB,LB,DEF,M. Olsson,32,180cm,68kg,Helsingborgs IF,2020,2020,66,66,€600K,600000.0,€1K,1000.0,€500K
England,"CAM, LM",CAM,MID,S. Kaikai,24,182cm,70kg,Blackpool,2019,2021,66,70,€1.2M,1200000.0,€3K,3000.0,€1.6M
Australia,CB,CB,DEF,H. Souttar,21,200cm,79kg,Stoke City,2016,2022,66,79,€2M,2000000.0,€6K,6000.0,€3M
Mexico,"RM, CM",CAM,MID,A. Medina,22,182cm,74kg,Deportivo Toluca,2014,2022,66,75,€1.9M,1900000.0,€6K,6000.0,€1.9M
Republic of Ireland,CAM,CAM,MID,P. McEleney,27,180cm,84kg,Dundalk,2018,2021,66,66,€900K,900000.0,€1K,1000.0,€1M
Saudi Arabia,GK,GK,GK,M. Malaeka,34,184cm,77kg,Al Faisaly,2016,2024,66,66,€150K,150000.0,€4K,4000.0,€454K
United States,"ST, LW",ST,ATT,B. White,24,178cm,77kg,New York Red Bulls,2018,2020,66,72,€1.4M,1400000.0,€2K,2000.0,€1.5M
Spain,"LM, RM",LM,MID,Gaspar,22,165cm,62kg,SD Ponferradina,Jun ,Loan,66,74,€1.9M,1900000.0,€7K,7000.0,€0
Croatia,CM,CAM,MID,R. Mudražija,23,177cm,70kg,FC København,2018,2024,66,75,€1.9M,1900000.0,€6K,6000.0,€1.5M
Sweden,CM,CB,DEF,S. Holmén,36,180cm,74kg,IF Elfsborg,2017,2021,66,66,€275K,275000.0,€1K,1000.0,€250K
Madagascar,ST,ST,ATT,F. Andriatsima,36,184cm,74kg,Al Fayha,2020,2020,66,66,€300K,300000.0,€5K,5000.0,€380K
England,"CM, CDM",CAM,MID,C. Brannagan,24,180cm,71kg,Oxford United,2018,2023,66,73,€1.7M,1700000.0,€3K,3000.0,€1.8M
Sweden,ST,ST,ATT,E. Kujović,32,194cm,88kg,Djurgårdens IF,2019,2021,66,66,€700K,700000.0,€3K,3000.0,€656K
Canada,CB,CB,DEF,M. James,26,193cm,81kg,FC Midtjylland,2018,2023,66,68,€925K,925000.0,€7K,7000.0,€963K
Spain,CB,CB,DEF,Lombán,33,185cm,79kg,Málaga CF,2018,2022,66,66,€400K,400000.0,€3K,3000.0,€465K
Switzerland,"CDM, CM",CM,MID,O. Custodio,25,179cm,76kg,FC Lugano,2019,2022,66,73,€1.6M,1600000.0,€2K,2000.0,€1.4M
